Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,File Under,Credited to,Tags,Youtube Video Link,Slides Link
Aptiv Autonomous Mobility,aptiv-autonomous-mobility,60a39378e6e9075540ba4686,653ad21be882f528b306da98,60a466ddd5d1a1007a031396,false,false,Wed May 19 2021 01:16:13 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 01:16:13 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 01:17:11 GMT+0000 (Coordinated Universal Time),Self Driving Cars,Karl Iagnemma,"President, Aptiv Autonomous Mobility",https://www.youtube.com/watch?v=p5AtrKqQ3Fw&list=PLrAXtmErZgOeY0lkVCIVafdGFOTi45amq,
Aurora,aurora,60a39378e6e9075540ba4686,653ad21be882f528b306da98,60a467aa038f2f6cc1f9501e,false,false,Wed May 19 2021 01:19:38 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 01:19:38 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 01:21:00 GMT+0000 (Coordinated Universal Time),Self Driving Cars,Sterling Anderson,"Co-Founder, Aurora",https://www.youtube.com/watch?v=HKBhP9JISF0&list=PLrAXtmErZgOeY0lkVCIVafdGFOTi45amq,
Complete Statistical Theory of Learning,complete-statistical-theory-of-learning,60a39378e6e9075540ba4686,653ad21be882f528b306da98,60a3951b4926c67c73b93f44,false,false,Tue May 18 2021 10:21:15 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 10:21:15 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 10:22:40 GMT+0000 (Coordinated Universal Time),Deep Learning 2020,Vladimir Vapnik,Columbia University,https://www.youtube.com/watch?v=Ow25mjFjSmg&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf,https://lexfridman.com/files/slides/2020_01_10_vladimir_vapnik_theory_of_learning.pdf
Computer Vision,computer-vision,60a39378e6e9075540ba4686,653ad21be882f528b306da98,60a456029d656c06bd06373f,false,false,Wed May 19 2021 00:04:18 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 00:04:18 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 00:05:22 GMT+0000 (Coordinated Universal Time),Deep Learning 2018,Lex Fridman,MIT,https://www.youtube.com/watch?v=CLOAswsxudo&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf,https://www.dropbox.com/s/a5iqp1df5j1xydj/computer_vision_2018.pdf?dl=0
Convolutional Neural Networks,convolutional-neural-networks,60a39378e6e9075540ba4686,653ad21be882f528b306da98,60a464ba89b04359ac581853,false,false,Wed May 19 2021 01:07:06 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 01:07:06 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 01:07:11 GMT+0000 (Coordinated Universal Time),Deep Learning 2017,Lex Fridman,MIT,https://www.youtube.com/watch?v=U1toUkZw6VI&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf,https://www.dropbox.com/s/dy9r29ff0gt215j/convolutional_neural_networks_2017.pdf?dl=0
Deep Learning,deep-learning,60a39378e6e9075540ba4686,653ad21be882f528b306da98,60a451d40d9487cb24b92461,false,false,Tue May 18 2021 23:46:28 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 23:46:28 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 23:54:21 GMT+0000 (Coordinated Universal Time),Deep Learning 2018,Lex Fridman,MIT,https://www.youtube.com/watch?v=-6INDaLcuJY&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf,https://www.dropbox.com/s/v8yfrydyrkzsm8q/deep_learning_2018.pdf?dl=0
Deep Learning Basics,deep-learning-basics,60a39378e6e9075540ba4686,653ad21be882f528b306da98,60a395666d171f363a9b9b9b,false,false,Tue May 18 2021 10:22:30 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 10:22:30 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 10:22:40 GMT+0000 (Coordinated Universal Time),Deep Learning 2019,Lex Fridman,MIT,https://www.youtube.com/watch?v=O5xeyoRL95U&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf,https://www.dropbox.com/s/c0g3sc1shi63x3q/deep_learning_basics.pdf?dl=0
Deep Learning for Human Sensing,deep-learning-for-human-sensing,60a39378e6e9075540ba4686,653ad21be882f528b306da98,60a45637c9835d6b116a7474,false,false,Wed May 19 2021 00:05:11 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 00:05:11 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 00:05:22 GMT+0000 (Coordinated Universal Time),Deep Learning 2018,Lex Fridman,MIT,https://www.youtube.com/watch?v=Z2GfE8pLyxc&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf,https://www.dropbox.com/s/phg3r7699tuo9ap/human_sensing_2018.pdf?dl=0
Deep Learning for Human-Sensing,deep-learning-for-human-sensing-2,60a39378e6e9075540ba4686,653ad21be882f528b306da98,60a4652a42b4054072c8e94d,false,false,Wed May 19 2021 01:08:58 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 01:08:58 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 01:17:11 GMT+0000 (Coordinated Universal Time),Deep Learning 2017,Lex Fridman,MIT,https://www.youtube.com/watch?v=ByZF8_-OJNI&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf,https://www.dropbox.com/s/ox0tp0axtrq1f5e/human_sensing_2017.pdf?dl=0
Deep Learning for Self-Driving Cars,deep-learning-for-self-driving-cars,60a39378e6e9075540ba4686,653ad21be882f528b306da98,60a464662eb2694d44e49655,false,false,Wed May 19 2021 01:05:42 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 01:05:42 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 01:07:11 GMT+0000 (Coordinated Universal Time),Deep Learning 2017,Lex Fridman,MIT,https://www.youtube.com/watch?v=1L0TKZQcUtA&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf,https://www.dropbox.com/s/wo8tdnifmtqmmrm/deep_learning_self_driving_cars_2017.pdf?dl=0
Deep Learning State of the Art (2019),deep-learning-state-of-the-art-2019,60a39378e6e9075540ba4686,653ad21be882f528b306da98,60a3973b2d30a10b8d8fba12,false,false,Tue May 18 2021 10:30:19 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 10:30:19 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 10:31:29 GMT+0000 (Coordinated Universal Time),Deep Learning 2019,Lex Fridman,MIT,https://www.youtube.com/watch?v=53YvP6gdD7U&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf,https://www.dropbox.com/s/v3rq3895r05xick/deep_learning_state_of_the_art.pdf?dl=0
Deep Learning State of the Art (2020),deep-learning-state-of-the-art-2020,60a39378e6e9075540ba4686,653ad21be882f528b306da98,60a39418b8f0c72635699dc3,false,false,Tue May 18 2021 10:16:56 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 10:18:35 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 10:22:40 GMT+0000 (Coordinated Universal Time),Deep Learning 2020,Lex Fridman,MIT,https://www.youtube.com/watch?v=0VH1Lim8gL8&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf,https://lexfridman.com/files/slides/2020_01_06_deep_learning_state_of_the_art.pdf
Deep Reinforcement Learning,deep-reinforcement-learning,60a39378e6e9075540ba4686,653ad21be882f528b306da98,60a453a41a430f2ea61a7365,false,false,Tue May 18 2021 23:54:12 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 23:54:12 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 23:54:21 GMT+0000 (Coordinated Universal Time),Deep Learning 2018,Lex Fridman,"MIIT, Deep Reinforcement Learning",https://www.youtube.com/watch?v=MQ6pP65o7OM&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf,https://www.dropbox.com/s/z4bfr9nifopijdj/deep_reinforcement_learning_2018.pdf?dl=0
Deep Reinforcement Learning,deep-reinforcement-learning-2,60a39378e6e9075540ba4686,653ad21be882f528b306da98,60a46493d3f32c81b68b294b,false,false,Wed May 19 2021 01:06:27 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 01:06:27 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 01:07:11 GMT+0000 (Coordinated Universal Time),Deep Learning 2017,Lex Fridman,MIT,https://www.youtube.com/watch?v=QDzM8r3WgBw&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf,https://www.dropbox.com/s/fqzopdhw7noatu1/deep_reinforcement_learning_2017.pdf?dl=0
Efficient Computing for Deep Learning,efficient-computing-for-deep-learning,60a39378e6e9075540ba4686,653ad21be882f528b306da98,60a394b98ce29192ab02704b,false,false,Tue May 18 2021 10:19:37 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 10:19:37 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 10:22:40 GMT+0000 (Coordinated Universal Time),Deep Learning 2020,Vivienne Sze,MIT,https://www.youtube.com/watch?v=WbLQqPw_n88&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf,https://lexfridman.com/files/slides/2020_01_15_vivienne_sze_efficient_computing.pdf
Introduction to Deep RL,introduction-to-deep-rl,60a39378e6e9075540ba4686,653ad21be882f528b306da98,60a39763fa5c07417768c175,false,false,Tue May 18 2021 10:30:59 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 10:30:59 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 10:31:29 GMT+0000 (Coordinated Universal Time),Deep Learning 2019,Lex Fridman,MIT,https://www.youtube.com/watch?v=zR11FLZ-O9M&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf,https://www.dropbox.com/s/wekmlv45omd266o/deep_rl_intro.pdf?dl=0
Motion Planning,motion-planning,60a39378e6e9075540ba4686,653ad21be882f528b306da98,60a467f8115a822c0868f609,false,false,Wed May 19 2021 01:20:56 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 01:20:56 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 01:21:00 GMT+0000 (Coordinated Universal Time),Self Driving Cars,Sertac Karaman,"Professor, MIT",https://www.youtube.com/watch?v=0fLSf3NO0-s&list=PLrAXtmErZgOeY0lkVCIVafdGFOTi45amq,
nuTonomy,nutonomy,60a39378e6e9075540ba4686,653ad21be882f528b306da98,60a4678157e536fd71da232f,false,false,Wed May 19 2021 01:18:57 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 01:18:57 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 01:21:00 GMT+0000 (Coordinated Universal Time),Self Driving Cars,Emilio Frazzoli,"CTO, nuTonomy",https://www.youtube.com/watch?v=dWSbItd0HEA&list=PLrAXtmErZgOeY0lkVCIVafdGFOTi45amq,
Privacy Preserving AI,privacy-preserving-ai,60a39378e6e9075540ba4686,653ad21be882f528b306da98,60a3946b81c52dfbb636c6f9,false,false,Tue May 18 2021 10:18:19 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 10:18:30 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 10:22:40 GMT+0000 (Coordinated Universal Time),Deep Learning 2020,Andrew Trask,"OpenMined, University of Oxford",https://www.youtube.com/watch?v=4zrU54VIK6k&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf,https://lexfridman.com/files/slides/2020_01_08_andrew_trask_privacy_preserving_ai.pdf
Recurrent Neural Networks,recurrent-neural-networks,60a39378e6e9075540ba4686,653ad21be882f528b306da98,60a464f814671973038546fc,false,false,Wed May 19 2021 01:08:08 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 01:08:08 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 01:17:11 GMT+0000 (Coordinated Universal Time),Deep Learning 2017,Lex Fridman,MIT,https://www.youtube.com/watch?v=nFTQ7kHQWtc&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf,https://www.dropbox.com/s/z2lptrvhm65j0qu/recurrent_neural_networks_2017.pdf?dl=0
Self-Driving Cars (2018),self-driving-cars-2018,60a39378e6e9075540ba4686,653ad21be882f528b306da98,60a4671348413206cc82a347,false,false,Wed May 19 2021 01:17:07 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 01:17:07 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 01:17:11 GMT+0000 (Coordinated Universal Time),Self Driving Cars,Lex Fridman,"Research Scholar, MIT",https://www.youtube.com/watch?v=_OCjqIgxwHw&list=PLrAXtmErZgOeY0lkVCIVafdGFOTi45amq,https://www.dropbox.com/s/d8exfakm7hw9zl1/self_driving_cars_2018.pdf?dl=0
Self-Driving Cars State of the Art (2019),self-driving-cars-state-of-the-art-2019,60a39378e6e9075540ba4686,653ad21be882f528b306da98,60a4656457e536c0c3da1648,false,false,Wed May 19 2021 01:09:56 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 01:10:20 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 01:17:11 GMT+0000 (Coordinated Universal Time),Self Driving Cars,Lex Fridman,"Self Driving, MIT",https://www.youtube.com/watch?v=sRxaMDDMWQQ&list=PLrAXtmErZgOeY0lkVCIVafdGFOTi45amq,https://www.dropbox.com/s/7in6e07mqiynvqi/self_driving_cars_state_of_the_art.pdf?dl=0
"Technology, Policy & Safety",technology-policy-safety,60a39378e6e9075540ba4686,653ad21be882f528b306da98,60a467d09e2f7a931c1a0046,false,false,Wed May 19 2021 01:20:16 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 01:20:16 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 01:21:00 GMT+0000 (Coordinated Universal Time),Self Driving Cars,Chris Gerdes,"Professor, Stanford",https://www.youtube.com/watch?v=LDprUza7yT4&list=PLrAXtmErZgOeY0lkVCIVafdGFOTi45amq,
Voyage,voyage,60a39378e6e9075540ba4686,653ad21be882f528b306da98,60a466b42eb2694ec6e4a13f,false,false,Wed May 19 2021 01:15:32 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 01:15:32 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 01:17:11 GMT+0000 (Coordinated Universal Time),Self Driving Cars,Oliver Cameron,"CEO, Voyage",https://www.youtube.com/watch?v=-j0tc0Y1CIE&list=PLrAXtmErZgOeY0lkVCIVafdGFOTi45amq,
Waymo (2019),waymo-2019,60a39378e6e9075540ba4686,653ad21be882f528b306da98,60a465c81c1bfbd982cd1d96,false,false,Wed May 19 2021 01:11:36 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 01:12:33 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 01:17:11 GMT+0000 (Coordinated Universal Time),Self Driving Cars,Drago Anguelov,"Principal Scientist, Waymo",https://www.youtube.com/watch?v=Q0nGo2-y0xY&list=PLrAXtmErZgOeY0lkVCIVafdGFOTi45amq,
Waymo,waymo-2020,60a39378e6e9075540ba4686,653ad21be882f528b306da98,60a46752ef2bd856291a6afe,false,false,Wed May 19 2021 01:18:10 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 01:18:10 GMT+0000 (Coordinated Universal Time),Wed May 19 2021 01:21:00 GMT+0000 (Coordinated Universal Time),Self Driving Cars,Sacha Arnoud,"Director of Engineering, Waymo",https://www.youtube.com/watch?v=LSX3qdy0dFg&list=PLrAXtmErZgOeY0lkVCIVafdGFOTi45amq,
